380
2	1336
5	292
8	1402
10	1437
12	14
14	165
21	1191
22	548
26	208
26	1049
27	854
35	306
35	504
38	1087
48	180
49	611
50	105
50	234
50	735
69	354
71	202
72	424
77	1016
79	1148
80	1090
82	86
82	458
83	591
84	556
94	288
106	485
109	625
111	193
117	1146
118	63
119	592
120	1214
121	561
125	400
126	855
128	1282
135	501
140	1054
142	533
146	1490
147	1421
149	607
158	572
161	155
163	1156
164	16
168	286
169	658
169	897
182	113
192	930
194	1219
201	1295
205	1173
215	1252
215	1326
216	789
219	1432
225	273
229	476
230	239
233	680
247	354
263	702
265	1060
268	467
270	812
271	231
274	58
292	302
296	727
300	12
300	829
300	1132
303	230
304	935
320	966
324	1383
325	760
328	1293
330	1062
343	930
343	1255
345	138
347	64
348	1321
349	352
361	1227
362	761
363	280
368	860
370	898
372	207
374	666
374	1469
384	1316
386	454
390	326
394	1398
405	796
411	902
412	481
413	145
422	391
427	1142
433	217
433	251
437	53
442	1360
443	187
444	1117
445	1449
449	736
451	1010
456	1333
462	535
467	1381
468	223
470	257
473	819
481	1265
482	879
485	364
492	950
494	784
503	844
504	16
504	236
525	266
534	225
541	60
541	644
541	1111
541	1353
556	1037
562	715
563	615
564	479
565	806
569	1095
572	563
584	1166
587	535
590	1121
592	1039
596	1496
598	1307
599	255
607	468
608	705
609	1233
611	864
612	768
613	561
622	600
625	92
631	633
640	700
641	1339
645	833
653	763
671	798
672	320
679	1428
688	1395
691	1133
692	1008
692	1095
700	619
704	180
711	25
720	1451
722	419
731	209
732	642
736	1037
742	392
742	1366
748	959
750	1143
752	853
765	886
775	813
779	694
781	4
789	114
792	395
794	1452
795	979
796	1165
798	76
808	358
811	244
813	1041
820	469
824	554
824	731
824	1145
828	1071
830	211
837	777
840	138
846	80
851	530
854	744
856	961
864	1157
866	1241
868	1440
870	672
873	454
875	270
876	773
878	1390
885	235
892	422
895	88
895	1420
899	1146
906	1179
916	359
924	1400
926	217
931	1199
936	1478
941	1086
953	486
960	1265
965	1133
966	122
970	1165
977	882
978	990
982	593
985	743
986	633
987	239
990	154
996	110
1001	952
1002	1096
1003	1131
1008	10
1010	471
1012	660
1017	175
1021	390
1027	1375
1028	321
1028	539
1037	865
1039	971
1040	835
1041	1227
1043	287
1048	480
1050	1009
1054	1272
1058	146
1060	554
1068	938
1071	1080
1071	1471
1072	1119
1072	1238
1076	87
1079	905
1083	484
1091	658
1094	379
1097	512
1108	34
1111	203
1116	277
1122	640
1125	1030
1129	521
1131	1435
1135	1372
1136	784
1138	1160
1145	1473
1152	624
1158	367
1159	503
1159	1405
1166	1131
1168	150
1170	848
1172	1373
1177	1165
1189	1035
1190	1279
1195	1066
1196	349
1201	1103
1201	1320
1202	241
1205	593
1215	791
1216	1451
1219	1264
1242	405
1242	770
1244	1162
1253	1268
1257	307
1261	684
1269	719
1273	1111
1273	1153
1278	395
1278	499
1278	755
1281	641
1285	1185
1289	533
1292	670
1297	1404
1298	1131
1308	272
1310	777
1311	959
1314	1310
1317	524
1320	879
1323	1343
1325	928
1327	444
1328	1032
1328	1116
1333	4
1333	119
1337	803
1345	210
1346	857
1360	137
1365	785
1367	9
1370	490
1370	1409
1371	1442
1374	444
1383	111
1387	1077
1391	1031
1411	603
1418	835
1421	749
1421	973
1425	870
1428	107
1431	353
1433	1340
1435	807
1436	671
1436	1376
1443	475
1444	616
1445	248
1448	1118
1451	773
1454	991
1454	1275
1455	282
1463	182
1463	339
1469	454
1471	1472
1485	1109
1486	72
1486	483
1486	712
1493	953
1495	670
